Tipo,Pregunta,A,B,C,D,Respuesta,Fuente,Columna 1
alternativa,"SEGÚN EL REGLAMENTO INTERNO DE TRÁNSITO, CUÁNTOS AÑOS DE EXPERIENCIA SE DEBE ACREDITAR PARA LA CONDUCCIÓN DE CAMIONETAS, ¿VEHÍCULOS DE TRANSPORTE DE PERSONAL Y DE CARGA?",CAMIONETAS 3 AÑOS TRANSPORTE PERSONAL Y CARGA 2 AÑOS,CAMIONETAS 2 AÑOS TRANSPORTE PERSONAL Y CARGA 2 AÑOS,CAMIONETAS 3 AÑOS TRANSPORTE PERSONAL Y CARGA 3 AÑOS,CAMIONETAS 2 AÑOS TRANSPORTE PERSONAL Y CARGA 3 AÑOS,D,REG_INT_TRANS,
alternativa,"SEGÚN REGLAMENTO INTERNO DE TRÁNSITO, TODO POSTULANTE A LICENCIA INTERNA MINA DEBE PARTICIPAR EN INDUCCIÓN ÁREA MINA, QUE TIENE UNA PRUEBA CON UNA EVALUACIÓN MÍNIMA Y UNA VIGENCIA DE:",80% Y 2 AÑOS,80% Y 3 AÑOS,90% Y 2 AÑOS,90% Y 3 AÑOS,D,REG_INT_TRANS,
alternativa,"SI SE ENCUENTRA ESTACIONADO UN CAEX EN UNA RAMPA NEGATIVA, ¿CÓMO DEBE ESTACIONARSE UNA CAMIONETA ADELANTE Y ATRÁS?",ADELANTE A 8 MTS DE DISTANCIA Y ATRÁS A 50 MTS DE DISTANCIA,ADELANTE A 7 MTS DE DISTANCIA Y ATRÁS A 30 MTS DE DISTANCIA,ADELANTE A 20 MTS DE DISTANCIA Y ATRÁS A 5 MTS DE DISTANCIA,ADELANTE A 50 MTS DE DISTANCIA Y ATRÁS A 8 MTS DE DISTANCIA,D,REG_INT_TRANS,
alternativa,"SI SE ENCUENTRA UN CAEX EN PANNE EN UNA RAMPA, CON PRETIL DE SEGURIDAD, CONOS Y ENUNCIANDO EN EL ALFANUMÉRICO LA PALABRA “ME”, ¿A QUIÉN SE LE SOLICITA AUTORIZACIÓN PARA ADELANTARLO?","SI, AL OPERADOR DEL CAEX","SI, AL JEFE TURNO MINA",NO SE DEBE ADELANTAR SIN AUTORIZACIÓN,A NADIE Y SE ADELANTA A MÍNIMO 5 MTS DE DISTANCIA DEL CAEX,D,REG_INT_TRANS,
alternativa,TORMENTA EN EL LUGAR.,ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,D,OP_INV,
alternativa,"TRÁNSITO VEHÍCULAR RESTRINGIDO, PODRÁN TRANSITAR SOLO VEHÍCULOS DE PROTECCIÓN INDUSTRIAL, DE RECUPERACIÓN DE CAMINOS, EMERGENCIAS Y LOS AUTORIZADOS POR EL COI PARA MANTENER LA CONTINUIDAD OPERACIONAL.",ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,D,OP_INV,
alternativa,"TRÁNSITO VEHICULAR RESTRINGIDO: PODRÁN TRANSITAR SOLO VEHÍCULOS Y EQUIPOS AUTORIZADOS POR EL COI PARA MANTENER LA LIMPIEZA DE RUTAS Y CAMINOS, VEHÍCULOS DE EMERGENCIA, PROTECCIÓN INDUSTRIAL Y AQUELLOS IDENTIFICADOS COMO CRÍTICOS Y AUTORIZADOS POR EL COI PARA LA CONTINUIDAD OPERACIONAL. ¿ESTA ALERTA ES?",ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,D,OP_INV,
alternativa,¿EL ACULATAMIENTO ES LA MANIOBRA QUE REALIZA UN CAEX PARA?,ACOMODARSE EN LA FRENTE DE CARGUÍO,VACIADO EN BOTADERO,ESTACIONARSE EN AREAS DELIMITADAS,TODAS LAS ANTERIORES,D,REG_CARGIO,REVISAR PARA ARRIBA
alternativa,CONTROL DE TERRENO CORRESPONDE AL EPF...,4,6,9,8,D,EPF,
alternativa,EL ÁREA DE CARGUÍO ES DEFINIDA POR :,50 METROS ALREDEDOR DEL AEREO DEL EQUIPO DE CARGUÍO ,POR LOS PASACABLES AEREOS,POR LOS PASACABLES Y LOS 50 METROS ALREDEDOR DEL EQUIPO DE CARGUÍO,POR LOS 50 METROS ALREDEDOR DEL EQUIPO DE CARGUIO,C,OP_MINA,
alternativa,EL ÁREA DE CARGUÍO ES:,EL AREA DONDE DESCARGAN LOS CAEX,EL AREA DONDE TRABAJA UN BULLDOZER,EL AREA DONDE ESTACIONAN LOS CAEX,EL AREA DONDE CARGAN LOS CAEX,D,OP_MINA,
alternativa,EL ÁREA DE CARGUÍO ESTÁ DESIGNADA POR ,50 METROS ALREDEDOR DEL AEREO DEL EQUIPO DE CARGUÍO ,POR LOS PASACABLES AEREOS,POR LOS PASACABLES Y LOS 50 METROS,NINGUNA DE LAS ANTERIORES,D,OP_MINA,
alternativa,"SEGÚN EL ALCANCE DEL REGLAMENTO INTERNO DE TRÁNSITO, ALGUNOS DE LOS LUGARES DONDE APLICA SERIA",OFICINAS DE SANTIAGO,PUERTO PATACHE,LINEAS ELECTRICAS,NINGUNA DE LAS ANTERIORES,C,OP_INV,
alternativa,EN UNA RAMPA POSITIVA SE PUEDE ESTACIONAR AL LADO DERECHO DE UN CAEX A:,5 METROS,A 10 METROS SIEMPRE QUE NO PUEDA ESTACIONARSE AL LADO IZQUIERDO,30 METROS CON BALIZA Y PERTIGA A LA ALTURA DE LA CABINA,NUNCA,D,PROC_CONDUC_INT_MINA,
alternativa,"ES OBLIGATORIO TENER LA RACIÓN DE ALIMENTOS, LINTERNA Y PILAS EN LA CAJA DE INVIERNO",SIEMPRE QUE ESTEMOS EN ALERTA 3 Y 4,SOLO ALIMENTOS SON NECESARIOS EN CASO DE ALERTA 4,SOLO LINTERNA ES NECESARIO,PILAS Y LINTERNA SON NECESARIOS Y LOS ALIMENTOS OPTATIVOS,D,OP_INV,
alternativa,LOS AIRBAG  DE LA CAMIONETA SON ,UN REQUISITO PARA TODOS LOS OCUPANTES,SOLO PARA EL CONDUCTOR ,SOLO PARA LOS ACOMPAÑANTES,PILOTO Y ACOMPAÑANTE,D,EPF,
alternativa,LOS ELEMENTOS DEBE CONTAR UN CONDUCTOR PARA CONDUCIR UNA CAMIONETA EN LA MINA SON: ,"PSICOSENSOTÉCNICO, LICENCIA MUNICIPAL, LICENCIA INTERNA, CURSO 4X4","FOCOS BUSCACAMINOS, LETRERO IDENTIFICATORIO, RADIO BIRIDECCIONAL","CASCO, CHALECO REFLECTANTE, PROTECTOR AUDITIVO",NINGUNA DE LAS ANTERIORES,A,REG_INT_TRANS,
alternativa,LOS EQUIPOS DE SERVICIO SON AQUELLOS ENCARGADOS DE,"MANTENER EN OPTIMAS CONDICIONES LOS CAMINOS, EJEMPLO UN BULLDOZER","LOS ENCARGADOS DE ASISTIR EN UNA EMERGENCIA, EJEMPLO UNA AMBULANCIA","LOS ENCARGADOS DE ASISTIR A LOS EQUIPOS MINA EJEMPLO, UN CAMIÓN ALJIBE",NINGUNA DE LAS ANTERIORES,C,REG_CARGIO,
alternativa,LOS EQUIPOS MÓVILES DE SUPERFICIE SON AQUELLOS QUE TIENEN UNA MASA BRUTA DE,3500 KG,SOBRE 3500 KG,4000 KG,SOBRE 4500 KG,D,REG_CARGIO,
alternativa,LOS VEHÍCULOS DE CARRETERA LIVIANOS SOLO PODRÁN ARRASTRAR UN REMOLQUE CUYO PESO SEA, SUPERIOR A LA TARA DE LA UNIDAD MOTRIZ Y SIEMPRE QUE EL PESO COMBINADO NO EXCEDA DE 3.500 KLS,CUANDO SEA NECESARIO SIN IMPORTAR EL PESO TOTAL DE LA UNIDAD MOTRIZ Y CARRO DE ARRASTRE,SEA MENOR A LA TARA MOTRIZ Y SIEMPRE QUE EL PESO COMBINADO NO EXCEDA LOS 3500 KG,SOLO SI EL PESO COMBINADO EXCEDE LOS 4500 KG,C,REG_INT_TRANS,
vf,¿SE CONSIDERA INFRACCIÓN MENOS GRAVE CONDUCIR SIN CONTAR CON LICENCIA MUNICIPAL Y/O INTERNA?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"¿SE PUEDE ADELANTAR A CUALQUIER EQUIPO EN LA MINA, A MÍNIMO 5 MTS DE DISTANCIA?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,¿SE PUEDE ADELANTAR UNA CARAVANA DE CAEX?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"¿SE PUEDE CARGAR EN ÁREAS DE CARGUÍO, CHANCADO, SOTCKS Y BOTADEROS?",VERDADERO,FALSO,,,FALSO,REG_CARGIO,
vf,¿SE PUEDE ESTACIONAR EN UNA RAMPA A LA IZQUIERDA DE UN BULLDOZER (ORUGA)?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,¿SE PUEDE TRABAJAR A LA INTEMPERIE PARA MANTENER LA CONTINUIDAD OPERACIONAL O ACTIVIDADES DE CONTINGENCIA EN ALERTA 3 DE INVIERNO CONTINENTAL CON LA AUTORIZACIÓN DEL SUPERVISOR?,VERDADERO,FALSO,,,FALSO,OP_INV,
vf,¿SOLO EN UN AMAGO DE INCENDIO SE DEBERÁ ACTIVAR LA EMERGENCIA RADIAL?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,¿UN OPERADOR DE UN EQUIPO DE CARGUÍO PUEDE ORDENAR AL CAEX A DESCARGAR?,VERDADERO,FALSO,,,FALSO,REG_CARGIO,
vf,¿UNA CAMIONETA “SE DEBE” ESTACIONAR AL LADO DERECHO DE UN EQUIPO DE APOYO?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,¿UNA CAMIONETA SE DEBE ESTACIONAR A MÍNIMO 10 MTS DETRÁS DE UNA EXCAVADORA EN UNA PENDIENTE NEGATIVA?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,¿UNA RAZÓN DE INCLUSIÓN DEL EPF 1 ES QUE LOS EQUIPOS DEBEN TENER CINTURÓN DE SEGURIDAD?,VERDADERO,FALSO,,,FALSO,EPF,
vf,"3 RAZONES DE INCLUSIÓN DEL EPF 1 SON: FATIGA O SOMNOLENCIA, CONDUCTOR POR DEBAJO DE LA INFLUENCIA DEL ALCOHOL Y DROGAS, DISTRACCIÓN AL CONDUCTOR.",VERDADERO,FALSO,,,FALSO,EPF,
vf,"AL ENCONTRARSE CON UN CAEX DETENIDO EN RAMPA, CON PRETIL DE SEGURIDAD, CON LA SIGLA ME EN EL ALFANUMÉRICO, CON LUCES DE EMERGENCIAS ENCENDIDAS Y SEGREGADO CON CONOS, ES CORRECTO ADELANTARLO SIN PEDIR AUTORIZACIÓN, CONSERVANDO UNA DISTANCIA MÍNIMA DE 10 MTS CON PRECAUCIÓN.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"AL ESTACIONAR AL LADO DE UNA MOTONIVELADORA, DEBE HACERLO AL COSTADO DERECHO A 5 MTS DE DISTANCIA.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"ALERTA 4 (ROJA), SE DETERMINA QUE: EL TRÁNSITO VEHICULAR ESTARÁ RESTRINGIDO, SOLO PODRÁN CIRCULAR EQUIPOS DE EMERGENCIA, RECUPERACIÓN DE CAMINOS Y AUTORIZADOS POR EL COI, PARA MANTENER LA CONTINUIDAD OPERACIONAL.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"ALERTA 4 DE INVIERNO CONTINENTAL, SE CONFIRMAN CONDICIONES ADVERSAS PERSISTENTES EN FAENA CORDILLERA CON NEVADAS, VENTISCAS, VISIBILIDAD REDUCIDA, PRECIPITACIONES Y/O ACUMULACIÓN DE PARCHES DE HIELO SOBRE LAS CARPETAS DE RODADOS.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"ANTE LA NECESIDAD DE DETENERSE Y/O ESTACIONAR EN SECTORES QUE ESTÁN INDICADOS CON ALGUNA INESTABILIDAD, CERCA DE UN BORDE O PATA DE BANCO, SE DEBE REALIZAR SIEMPRE ACULATADO Y CON UNA DISTANCIA MÍNIMA DE 10 MTS.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"CADA GERENCIA SERÁ RESPONSABLE DE DEFINIR LAS ACTIVIDADES POSIBLES DE REALIZAR Y LAS QUE SERÁN REPROGRAMADAS POR RIESGO DE TORMENTAS ELÉCTRICAS, SEGÚN PROCEDIMIENTO DE ALERTA 3 DE INVIERNO ALTIPLÁNICO.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"DESPLAZAMIENTO LIBRE UTILIZANDO ROPA TÉRMICA, EPP ADECUADOS Y MEDIOS DE COMUNICACIÓN, ADEMÁS CADA ÁREA COMENZARÁ EL INICIO DE SALADO DE LAS VÍAS DE ACCESO PEATONAL Y ESTACIONAMIENTOS. ESTA RESTRICCIÓN PERTENECE A LA ALERTA 2 AMARILLA DE INVIERNO ALTIPLÁNICO.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"EDIFICIOS E INSTALACIONES CERRADAS CON SISTEMA DE PROTECCIÓN CONTRA RAYOS, SON CONSIDERADAS ZONAS PROTEGIDAS.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"EL ALCANCE DEL EPF 1, ES SOLO PARA LOS VEHÍCULOS QUE CIRCULAN DENTRO DE FAENA?",VERDADERO,FALSO,,,FALSO,EPF,
vf,EL ALCANCE DEL REGLAMENTO INTERNO DE TRÁNSITO INCLUYE EL DESTINO EN LAS OFICINAS DE IQUIQUE.,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EL ALCANCE DEL REGLAMENTO OPERACIÓN INVIERNO ES PARA FAENA CORDILLERA, EXTERIOR FAENA CORDILLERA, RUTA INTERNA DESDE Y HACIA GARITA NORTE Y CENTRO, MINERODUCTO, LÍNEAS ELÉCTRICAS Y CAMINOS ADYACENTES.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,EL ÁREA DE CARGUÍO ES DETERMINADA POR LOS 50 MTS ALREDEDOR DEL ÁREA DE UN EQUIPO DE CARGUÍO?,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EL ÁREA DE CARGUÍO ES EL ÁREA DE TRABAJO DE UN EQUIPO DE CARGUÍO (PALA O FRONTAL), DEFINIDA POR LOS 50 MTS ALREDEDOR DEL EQUIPO DE CCARGUÍO Y/O POR LOS PASACABLES AÉREOS.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EL ÁREA DE CARGUÍO, ¿ES DETERMINADA POR LOS 50 MTS ALREDEDOR DEL AÉREO DE UN EQUIPO DE CARGUÍO?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,EL PERÍODO DE INVIERNO ALTIPLÁNICO COMPRENDE DESDE:,"EL 15 DE NOVIEMBRE HASTA EL 30 DE ABRIL, SIEMPRE Y CUANDO CENTRAL COLLAHUASI NO DETERMINE NUEVAS FECHAS QUE PUEDAN SER IMPLEMENTADAS","EL 15 DE NOVIEMBRE HASTA EL 30 DE ABRIL, SIEMPRE Y CUANDO EL COI NO DETERMINE NUEVAS FECHAS QUE PUEDAN SER IMPLEMENTADAS","EL 30 DE NOVIEMBRE HASTA EL 15 DE ABRIL, SIEMPRE Y CUANDO CENTRAL COLLAHUASI NO DETERMINE NUEVAS FECHAS QUE PUEDAN SER IMPLEMENTADAS","EL 30 DE NOVIEMBRE HASTA EL 15 DE ABRIL, SIEMPRE Y CUANDO EL COI NO DETERMINE NUEVAS FECHAS QUE PUEDAN SER IMPLEMENTADAS",FALSO,OP_INV,
vf,EL PRETIL DE SEGURIDAD SIRVE PARA DEFINIR ANCHO DE CAMINOS Y COMO REFERENCIA DE ACULATADO EN SECTORES DE VACIADO Y SU MEDIDA ES SOBRE 2 MTS.,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EL USO DE TELEFONOS CELULARES, ESTÁ PERMITIDO EN EL ÁREA MINA, SEGÚN EL MANUAL DE CARGUÍO DE TRANSPORTE, SIEMPRE Y CUANDO SE HAGA CON DISPOSITIVOS DE MANOS LIBRES, SE RECOMIENDA DETENER EL VEHÍCULO EN UN LUGAR SEGURO Y LUEGO CONTINUAR USANDO EL CELULAR.",VERDADERO,FALSO,,,FALSO,REG_CARGIO,
vf,"EN ALERTA 4 DE OPERACIÓN INVIERNO ALTIPLÁNICO, ES OBLIGACIÓN CONTAR CON RACIÓN DE ALIMENTOS, AL CIRCULAR EN UN VEHÍCULO LIVIANO.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"EN CASO DE UN ACCIDENTE DENTRO DE LA MINA, ¿SE DEBE MOVER AL HERIDO?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EN LAS RAZONES DE INCLUSIÓN DEL EPF 1, ¿ESTÁ LA ALTURA GEOGRÁFICA?",VERDADERO,FALSO,,,FALSO,EPF,
vf,"EN TODO TRABAJO QUE SE REALICE EN INTEMPERIE DESDE ALERTA 2 EN ADELANTE, SE DEBE CONTAR CON EQUIPO DE RADIOCOMUNICACIÓN, UN DETECTOR DE RAYOS, VATS Y AUTORIZACIONES CORRESPONDIENTES.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"EN UN CRUCE NO REGULADO SE ENFRENTAN UN CAMIÓN DE TRANSPORTE DE EXPLOSIVOS Y UN CAEX VACIO, ¿ES CORRECTO QUE LA PREFERENCIA LA TENGA EL CAMIÓN DE EXPLOSIVOS?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EN UN LUGAR DE MUCHA POLUCIÓN EN AREA MINA, ¿ ES OBLIGATORIO USAR LA MASCARILLA MEDIO ROSTRO?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EN UNA ZONA SEGURA TRANSITORIA, ¿SE PUEDE PERMANECER RESGUARDADO POR MAS DE 24 HRS?",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"ENTRE LOS REQUISITOS QUE DEBE CUMPLIR UNA CAMIONETA PARA INGRESAR A LA MINA, DEBE TENER RADIO BASE, BALIZA Y PÉRTIGA DE 4,50 MTS.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"EQUIPOS DE APOYO SON TODOS AQUELLOS QUE SIRVEN PARA MANTENER EN ÓPTIMAS CONDICIONES FRENTES DE CARGUÍO, RAMPAS Y CAMINOS, EJEMPLO, UN RODILLO.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"ES UN ÁREA DEFINIDA PARA LA PROTECCIÓN DE LAS PERSONAS DURANTE UNA TORMENTA ELÉCTRICA, Y CORRESPONDE A LUGARES QUE, POR SUS CARACTERÍSTICAS ESTRUCTURALES, LOS TRABAJADORES PUEDEN REALIZAR ACTIVIDADES NORMALES, SIN VERSE AFECTADOS POR LAS TORMENTAS ELÉCTRICAS. ESTA DEFINICIÓN CORRESPONDE A UNA ZONA PROTEGIDA.",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"ESPACIO COMPRENDIDO POR EL ÁREA ALREDEDOR DE LA PALA O CARGADOR FRONTAL EN UN RADIO DE 50 MTS, SE DEFINE SEGÚN MANUAL DE CONDUCCIÓN INTERIOR MINA CON VEHÍCULOS LIVIANOS, COMO ÁREA DE VACIADO.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,FRECUENCIA RADIAL EN RAMPA INTERMEDIA ES BAJO ROSARIO.,VERDADERO,FALSO,,,FALSO,EPF,
vf,LA CANCHA DE ENTRENAMIENTO ESCUELITA TRABAJA POR FRECUENCIA ALTO ROSARIO?,VERDADERO,FALSO,,,FALSO,EPF,
vf,"LA DISTANCIA IDEAL DE UN CAEX EN CONDICIONES NORMALES DE OPERACIÓN QUE VA DETRÁS DE UNA CAMIONETA, ES DE 100 MTS.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,LA DISTANCIA NORMAL DE TRÁNSITO EN LA MINA ES DE 50 MTS EN CONDICIONES NORMALES Y 80 MTS EN CONDICIONES ADVERSAS.,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,LA FRECUENCIA ALTERNATIVA QUE USAN LAS PERFORADORAS EN CASO DE HABER PROCESO DE TRONADURA ES COOR MANT.,VERDADERO,FALSO,,,FALSO,EPF,
vf,LA REPROGRAMACIÓN Y RETIRO DE VISITAS POR PARTE DE LAS ÁREAS CORRESPONDE A ACCIONES DURANTE LA ALERTA 2 DE INVIERNO ALTIPLÁNICO.,VERDADERO,FALSO,,,FALSO,OP_INV,
vf,LA RESTRICCIÓN PARA CIRCULAR CON UNA CAMIONETA EN ALERTA 2 DE INVIERNO CONTINENTAL ES LIBRE TRÁNSITO PARA VEHÍCULOS CON EQUIPAMIENTO Y CERTIFICACIÓN CORRESPONDIENTE.,VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"LAS ALERTAS 3 (NARANJA) Y 4 (ROJA), NO TIENEN UN TIEMPO DEFINIDO APROXIMADO, POR LO TANTO, DEBE ESTAR ATENTO A LOS COMUNICADOS OFICIALES DE LA COMPAÑÍA (RADIO, CORREOS ELECTRÓNICOS, APLICACIÓN SOSAFE, APLICACIÓN PRONÓSTICO METEOROLÓGICO Y GRUPOS DE WHATSAPP DEL COI).",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,LAS ALERTAS EN PERÍODO INVERNAL SERÁN DETERMINADAS POR CENTRAL COLLAHUASI Y DEBEN ESTAR ATENTOS A LOS COMUNICADOS OFICIALES DE LA COMPAÑÍA.,VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"LAS BOLSAS DE AIRE “AIR BAG” DEBEN SER PARA EL CONDUCTOR, EL COPILOTO Y LOS ASIENTOS TRASEROS.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"LAS CABINAS DE VEHÍCULOS MAYORES COMO PALAS, CAMIONES, PERFORADORAS, ¿SON CONSIDERADAS COMO ZONAS PROTEGIDAS?",VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"LAS FRECUENCIAS QUE SE UTILIZAN EN ÁREA MINA SON: ALTO ROSARIO, BAJO ROSARIO, ROSARIO SUR Y EMERGENCIA.",VERDADERO,FALSO,,,FALSO,EPF,
vf,"LAS RAZONES DE INCLUSIÓN DEL EPF 1 SON: VELOCIDAD INADECUADA, FATIGA DEL CONDUCTOR, INESTABILIDAD DEL VEHÍCULO, DISTRACCIÓN DEL CONDUCTOR, CONDICIÓN ADECUADA DEL VEHÍCULO, CONDUCTOR BAJO LA INFLUENCIA DE ALCOHOL Y/O DROGAS, VISIBILIDAD REDUCIDA, POCA SEPARACIÓN CON RESPECTO DE OTROS EQUIPOS MÓVILES, INSTALACIONES O PEATONES, RIESGO EXCESIVO ASUMIDO POR EL CONDUCTOR, CONDUCTOR SIN EXPERIENCIA/INCOMPETENTE",VERDADERO,FALSO,,,FALSO,EPF,
vf,"LOS ALJIBES DE ABASTECIMIENTO DE PERFORADORAS, ¿ESTAN EN 5° LUGAR EN LAS PREFERENCIAS EN LOS CRUCES NO REGULADOS?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"LOS BULLDOZER, WHELLDOZER Y MOTONIVELADORAS SON EQUIPOS DE SERVICIO?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,LOS DOS OBJETIVOS DEL PROCEDIMIENTO OPERACIÓN INVIERNO SON: GARANTIZAR LA SEGURIDAD DE LAS PERSONAS Y LA CONTINUIDAD OPERACIONAL.,VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"LOS EQUIPOS DE SERVICIO SON TODOS AQUELLOS QUE PERMITEN MANTENER EN ÓPTIMAS CONDICIONES, CAMINOS, RAMPAS Y FRENTES DE CARGUÍO, EJEMPLO: EXCAVADORA, MANIPULADOR DE CABLES, CAMIÓN ALJIBE.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"LOS EQUIPOS MÓVILES DE SUPERFICIE SON TODOS LOS EQUIPOS QUE TIENEN UNA MASA BRUTA DE MÁS DE 4.500 KG, Y QUE NO ESTÁN INCLUÍDOS EN LA DEFINICIÓN DE VEHÍCULOS LIVIANOS, COMO CAMIONES CON DESCARGA TRASERA, E INFERIOR, PALAS, BULLDOZER, WHELLDOZER.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,LOS OBJETIVOS DEL PROCEDIMIENTO OPERACIÓN INVIERNO SON GARANTIZAR LA SEGURIDAD OPERACIONAL Y LA CONTINUIDAD DE LAS PERSONAS.,VERDADERO,FALSO,,,FALSO,OP_INV,
vf,"LOS VEHÍCULOS DE CARRETERA LIVIANOS, SOLO PODRÁN ARRASTRAR UN REMOLQUE CUYO PESO SEA INFERIOR A LA TARA DE LA UNIDAD MOTRÍZ Y SIEMPRE QUE EL PESO COMBINADO EXCEDA LOS 3.500 KG.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,LOS VEHÍCULOS DE CARRETERA NO LIVIANOS DEBEN TENER POR LOS MENOS 2 CUÑAS Y 2 TRIÁNGULOS SEGÚN REQUERIMIENTO ASOCIADO A PLANTA Y EQUIPOS DEL EPF 1.,VERDADERO,FALSO,,,FALSO,EPF,
vf,"LOS VEHÍCULOS UTILIZADOS COMO ESCOLTA DEBEN SER CAMIONETAS COLOR AMARILLA, CON BALIZA ESTROBOSCÓPICA COLOR AMBAR, LETRERO QUE INDIQUE ESCOLTA, ADEMÁS DEBEN CONTAR CON EQUIPO DE COMUNICACIÓN QUE PERMITA MANTENER LA COMUNICACIÓN CON LOS VEHÍCULOS ESCOLTADOS Y LUCES DE EMERGENCIA ENCENDIDAS EN TODO MOMENTO.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"PARA ESTACIONAR A UN COSTADO DEL BULLDOZER QUE SE ENCUENTRA DETENIDO, SE DEBE ELEGIR SIEMPRE EL LADO IZQUIERDO.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"PARA ESTACIONAR AL COSTADO DE UN BULLDOZER QUE SE ENCUENTRA DETENIDO EN RAMPA, ¿LA DISTANCIA ES DE 10 MTS?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"PARA ESTACIONAR AL COSTADO DE UNA RETROEXCAVADORA, PUEDE REALIZARLO A AMBOS COSTADOS, DEPENDIENDO DE LA EVALUACIÓN DE ENTORNO Y RESPETANDO UNA DISTANCIA DE A LO MENOS 10 MTS.",VERDADERO,FALSO, , ,FALSO,REG_INT_TRANS,
vf,"PARA ESTACIONARME DETRÁS DE UNA RETROEXCAVADORA, DEBO CONTAR CON QUE NO EXISTA POSIBILIDAD DE ESTACIONARME AL LADO IZQUIERDO Y AL FRENTE Y DEBO HACERLO A UNA DISTANCIA DE 10 MTS.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"PARA ESTACIONARSE AL COSTADO DE UN BULLDOZER, ¿SE DEBE ELEGIR SIEMPRE EL LADO IZQUIERDO?",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"PARA SER ESCOLTA, SE DEBE CUMPLIR AL MENOS CON 2 AÑOS DE POSESIÓN DE LICENCIA MUNICIPAL.",VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
vf,"PROCEDIMIENTO PARA INGRESAR AL ÁREA DE CARGUÍO SIN PASACABLES: A 50 MTS PEDIR AUTORIZACIÓN RADIAL AL OPERADOR DEL EQUIPO DE CARGUÍO, INDICAR NÚMERO IDENTIFICATÓRIO, INGRESAR A 10 KM/HR.",VERDADERO,FALSO, , ,FALSO,REG_CARGIO,
vf,PUEDO ESTACIONAR AL COSTADO DERECHO DE UNA RETROEXCAVADORA A 10 MTS.,VERDADERO,FALSO,,,FALSO,REG_INT_TRANS,
